fautes d'orthographe,nbr des mots-clés déclencheurs,Spam
-1.5666989036012806,-1.6947980485980962,-1.224744871391589
-1.2185435916898848,-0.564932682866032,-1.224744871391589
-0.8703882797784892,-0.9415544714433868,-1.224744871391589
-0.5222329678670935,-1.3181762600207416,-1.224744871391589
-0.17407765595569785,0.18831089428867737,0.816496580927726
0.17407765595569785,0.9415544714433868,0.816496580927726
0.5222329678670935,0.564932682866032,0.816496580927726
0.8703882797784892,0.564932682866032,0.816496580927726
1.2185435916898848,0.9415544714433868,0.816496580927726
1.5666989036012806,1.3181762600207416,0.816496580927726
